,ID_GPS,ISO,Country,Partyname,V14,Group,Group_region,Region,longitude,latitude
0,1,AFG,Afghanistan,Islamic Society,7.5,B,Region6,South Asia,67.709953,33.93911
3,2,AFG,Afghanistan,Islamic Unity Party of Afghanistan,5.5,,Region6,South Asia,67.709953,33.93911
6,3,AFG,Afghanistan,National Islamic Movement of Afghanistan,9.333333333,D,Region6,South Asia,67.709953,33.93911
9,4,AFG,Afghanistan,People's Islamic Unity Party of Afghanistan,5.5,,Region6,South Asia,67.709953,33.93911
12,5,AFG,Afghanistan,Republican Party of Afghanistan,2.333333333,,Region6,South Asia,67.709953,33.93911
15,6,AGO,Angola,Broad Convergence for the Salvation of Angola – Electoral Coalition,2.166666667,,Region7,Sub-Saharan Africa,17.873887,-11.202692
32,7,AGO,Angola,National Front for the Liberation of Angola,2.333333333,,Region7,Sub-Saharan Africa,17.873887,-11.202692
33,8,AGO,Angola,National Union for the Total Independence of Angola,2.333333333,,Region7,Sub-Saharan Africa,17.873887,-11.202692
50,9,AGO,Angola,People's Movement for the Liberation of Angola,2.166666667,,Region7,Sub-Saharan Africa,17.873887,-11.202692
59,10,AGO,Angola,Social Renewal Party,1.75,,Region7,Sub-Saharan Africa,17.873887,-11.202692
60,19,ARG,Argentina,Civic Front for Santiago,5.5,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
419,20,ARG,Argentina,Evolución,2.727272727,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
420,21,ARG,Argentina,Front for the Renewal of Concord,2,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
779,23,ARG,Argentina,"Progressive, Civic and Social Front",1.555555556,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
780,24,ARG,Argentina,Union for Córdoba ,4.5,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
1139,25,ARG,Argentina,United for a New Alternative,3.75,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
1319,26,ARG,Argentina,Workers' Left Front,1.416666667,,Region3,Latin America and the Caribbean,-63.616672,-38.416097
1320,27,ARM,Armenia,Bright Armenia,2.555555556,,Region2,Europe and Central Asia,45.038189,40.069099
1421,28,ARM,Armenia,My Step Alliance,2.4,,Region2,Europe and Central Asia,45.038189,40.069099
1422,33,AUS,Australia,Katters Australia Party,6.2,A,Region1,East Asia and the Pacific,133.775136,-25.274398
1901,34,AUS,Australia,Liberal National Party,3.5,,Region1,East Asia and the Pacific,133.775136,-25.274398
